Date,Close
17/9/2013,148.05
16/9/2013,150.05
13/9/2013,152.15
12/9/2013,150.75
11/9/2013,150.7
10/9/2013,146.65
6/9/2013,147
5/9/2013,147.2
4/9/2013,143.85
3/9/2013,141.55
2/9/2013,143.8
30/8/2013,139
29/8/2013,137.95
28/8/2013,136.05
27/8/2013,141.3
26/8/2013,144.05
23/8/2013,146.75
22/8/2013,146.25
21/8/2013,141.9
20/8/2013,140.9
19/8/2013,141.65
16/8/2013,140.45
14/8/2013,147.65
13/8/2013,146.55
12/8/2013,145.5
8/8/2013,146.5
7/8/2013,141.9
6/8/2013,137.95
5/8/2013,142.8
2/8/2013,146.4
1/8/2013,147.05
31/7/2013,159.7
30/7/2013,158.85
29/7/2013,159.4
26/7/2013,156.7
25/7/2013,151.75
24/7/2013,153.55
23/7/2013,154.75
22/7/2013,154.6
19/7/2013,155.7
18/7/2013,154.95
17/7/2013,157.05
16/7/2013,153.75
15/7/2013,154.05
12/7/2013,147.6
11/7/2013,147.65
10/7/2013,149.1
9/7/2013,145.1
8/7/2013,147.45
5/7/2013,145.15
4/7/2013,143.5
3/7/2013,141.6
2/7/2013,140.1
1/7/2013,141.5
28/6/2013,134.4
27/6/2013,129.3
26/6/2013,133.45
25/6/2013,133.9
24/6/2013,133.35
21/6/2013,136.4
20/6/2013,140.8
19/6/2013,143.5
18/6/2013,142.9
17/6/2013,140.4
14/6/2013,139.95
13/6/2013,139.1
12/6/2013,141.6
11/6/2013,142.6
10/6/2013,146
7/6/2013,149.1
6/6/2013,149.6
5/6/2013,150.2
4/6/2013,149.9
3/6/2013,147.05
31/5/2013,145.9
30/5/2013,148
29/5/2013,143
28/5/2013,144.7
27/5/2013,143.7
24/5/2013,141.3
23/5/2013,138.75
22/5/2013,142.65
21/5/2013,144.4
20/5/2013,144.05
17/5/2013,146.6
16/5/2013,143.25
15/5/2013,147.3
14/5/2013,141
13/5/2013,146.45
11/5/2013,147.7
10/5/2013,146.15
9/5/2013,148.05
8/5/2013,151
7/5/2013,149.05
6/5/2013,147.55
3/5/2013,147.35
2/5/2013,149
30/4/2013,147.25
29/4/2013,144.25
26/4/2013,140.4
25/4/2013,136.05
23/4/2013,138.35
22/4/2013,140.55
18/4/2013,138.75
17/4/2013,137.1
16/4/2013,133.65
15/4/2013,132.3
12/4/2013,131.75
11/4/2013,131.4
10/4/2013,131
9/4/2013,130.15
8/4/2013,132.8
5/4/2013,128.2
4/4/2013,127.4
3/4/2013,130.65
2/4/2013,134.2
1/4/2013,131.45
28/3/2013,127.85
26/3/2013,123.5
25/3/2013,123.55
22/3/2013,125.9
21/3/2013,124.6
20/3/2013,128.35
19/3/2013,130.15
18/3/2013,131.1
15/3/2013,133.4
14/3/2013,134.35
13/3/2013,133.5
12/3/2013,133.2
11/3/2013,132.75
8/3/2013,134.1
7/3/2013,131.65
6/3/2013,130.05
5/3/2013,132.05
4/3/2013,126.6
1/3/2013,127.95
28/2/2013,125.2
27/2/2013,132.2
26/2/2013,131.85
25/2/2013,133.4
22/2/2013,138.15
21/2/2013,138
20/2/2013,145.05
19/2/2013,146.35
18/2/2013,141.9
15/2/2013,141.05
14/2/2013,139.05
13/2/2013,141.55
12/2/2013,142.05
11/2/2013,140.8
8/2/2013,142.5
7/2/2013,144.85
6/2/2013,142.25
5/2/2013,141.5
4/2/2013,145.15
1/2/2013,146.8
31/1/2013,149.35
30/1/2013,143.9
29/1/2013,147.75
28/1/2013,147.65
25/1/2013,148
24/1/2013,145.5
23/1/2013,149
22/1/2013,151.85
21/1/2013,154
18/1/2013,153
17/1/2013,154.95
16/1/2013,156.5
15/1/2013,158.55
14/1/2013,159.45
11/1/2013,158.65
10/1/2013,161
9/1/2013,162.45
8/1/2013,163.75
7/1/2013,162.75
4/1/2013,164.15
3/1/2013,165.85
2/1/2013,166.65
1/1/2013,160.8
31/12/2012,159.95
28/12/2012,160.45
27/12/2012,159.65
26/12/2012,160.15
24/12/2012,160.65
21/12/2012,160.85
20/12/2012,162.95
19/12/2012,165.15
18/12/2012,165.2
17/12/2012,165.65
14/12/2012,168.75
13/12/2012,168.05
12/12/2012,172.05
11/12/2012,169.8
10/12/2012,172.85
7/12/2012,169.85
6/12/2012,165.75
5/12/2012,165.6
4/12/2012,166.25
3/12/2012,168.55
30/11/2012,165.95
29/11/2012,162.6
27/11/2012,163.05
26/11/2012,163.4
23/11/2012,163.4
22/11/2012,159.95
21/11/2012,160.85
20/11/2012,159
19/11/2012,164.15
16/11/2012,173.4
15/11/2012,178.85
13/11/2012,171.45
12/11/2012,168.8
9/11/2012,168.9
8/11/2012,167.35
7/11/2012,159.55
6/11/2012,157.85
5/11/2012,158.65
2/11/2012,158.3
1/11/2012,159.8
31/10/2012,150.15
30/10/2012,150.7
29/10/2012,148
26/10/2012,151.4
25/10/2012,154.85
23/10/2012,156.95
22/10/2012,159.6
19/10/2012,157.95
18/10/2012,162.05
17/10/2012,162.45
16/10/2012,161.25
15/10/2012,160
12/10/2012,161.25
11/10/2012,160.05
10/10/2012,156.15
9/10/2012,153.4
8/10/2012,155.55
5/10/2012,150.2
4/10/2012,151.9
3/10/2012,155.4
1/10/2012,145.65
28/9/2012,142.85
27/9/2012,131.65
26/9/2012,130.55
25/9/2012,128.85
24/9/2012,128.8
21/9/2012,131.05
20/9/2012,127.4
18/9/2012,129.75
17/9/2012,128.5
14/9/2012,133.65
13/9/2012,133.9
12/9/2012,134.4
11/9/2012,134.8
10/9/2012,135.35
8/9/2012,136.65
7/9/2012,136.6
6/9/2012,135.6
5/9/2012,133.65
4/9/2012,131.6
3/9/2012,130.4
31/8/2012,129.8
30/8/2012,130.3
29/8/2012,125.2
28/8/2012,127.9
27/8/2012,128.45
24/8/2012,128.85
23/8/2012,131
22/8/2012,131.8
21/8/2012,132.9
17/8/2012,134.7
16/8/2012,133.9
14/8/2012,133.9
